WAREHOUSE_CODE,CENTRAL_PINCODE,delivery_type,count,logistics_cost
21.0,423.0,rapid,69235,38.88550276603696
24.0,0.0,rapid,57503,34.88823453068311
25.0,251.0,rapid,44344,35.234551561043595
21.0,423.0,non_rapid,30047,26.77561159317128
19.0,542.0,rapid,25906,31.212980019105093
32.0,3.0,rapid,25728,55.15963562542452
24.0,0.0,non_rapid,23458,25.512173327684486
42.0,381.0,rapid,22561,44.68040018390625
25.0,251.0,non_rapid,17413,27.62838665358237
24.0,85.0,rapid,17136,41.13890927673905
42.0,381.0,non_rapid,16303,44.28519182247392
28.0,464.0,rapid,12703,36.567759233815565
19.0,542.0,non_rapid,12495,25.435201226358004
20.0,115.0,rapid,11535,35.431347004279885
25.0,267.0,rapid,11153,31.066985181069235
24.0,84.0,rapid,10943,43.22750511305004
25.0,253.0,rapid,9246,34.65513181312576
32.0,3.0,non_rapid,8136,29.21114769812345
28.0,464.0,non_rapid,7670,35.970545769284044
25.0,253.0,non_rapid,6779,27.67870948585712
16.0,184.0,rapid,6771,42.05588241573889
25.0,267.0,non_rapid,6586,30.976066991870056
24.0,85.0,non_rapid,6440,29.149724961610705
13.0,3.0,rapid,6399,32.85046229073433
20.0,115.0,non_rapid,5656,26.926749764816275
15.0,310.0,rapid,5113,37.71944071185764
24.0,2.0,rapid,4976,39.62542578368285
24.0,84.0,non_rapid,4834,26.712902828467207
25.0,254.0,rapid,4619,38.0706282850778
24.0,0.0,non_rapid,4210,38.45906281078241
47.0,584.0,non_rapid,3849,33.46994086322885
12.0,621.0,rapid,3496,41.20915540339392
22.0,0.0,rapid,3487,25.89285774818409
13.0,3.0,non_rapid,3369,29.72867810880833
19.0,546.0,rapid,3336,35.9679536034642
19.0,699.0,non_rapid,3314,35.25928894806932
24.0,0.0,rapid,3206,44.460756471716174
20.0,96.0,rapid,2993,33.22335171696133
43.0,3.0,rapid,2900,38.2220915153761
47.0,584.0,rapid,2863,34.287773550724765
5.0,0.0,rapid,2851,27.768836446816675
30.0,542.0,rapid,2837,25.363687267312063
24.0,86.0,rapid,2795,46.89674279379161
30.0,542.0,non_rapid,2750,25.4202158330052
16.0,184.0,non_rapid,2663,30.383144043171377
24.0,2.0,non_rapid,2449,31.919314016172564
21.0,464.0,non_rapid,2421,35.572100881057274
15.0,310.0,non_rapid,2054,30.402145281018115
25.0,251.0,rapid,1998,55.729415966386384
24.0,3.0,non_rapid,1850,27.117631726457425
25.0,254.0,non_rapid,1790,27.78902999400117
21.0,423.0,non_rapid,1766,47.28687622549021
19.0,546.0,non_rapid,1685,30.45514231014681
19.0,699.0,rapid,1497,35.24344720056694
21.0,423.0,rapid,1481,47.26155894590843
31.0,84.0,rapid,1454,27.617779985283324
2.0,3.0,rapid,1398,51.07365795541891
32.0,3.0,non_rapid,1387,43.349580228136965
12.0,621.0,non_rapid,1386,37.38026953125002
22.0,0.0,non_rapid,1359,26.744802683504343
20.0,96.0,non_rapid,1315,33.23907160493825
24.0,86.0,non_rapid,1274,37.06781872340427
5.0,0.0,non_rapid,1214,27.9956263537906
32.0,26.0,non_rapid,1186,51.234375
15.0,310.0,non_rapid,1161,7.623479475982528
32.0,26.0,rapid,1150,51.11793206521739
20.0,105.0,non_rapid,1148,40.07532956685499
19.0,548.0,rapid,1103,31.172189035916784
31.0,84.0,non_rapid,1074,26.81636363636364
19.0,542.0,non_rapid,1049,73.38662058212064
4.0,85.0,rapid,1010,25.443669102296447
19.0,733.0,non_rapid,999,37.34999363732763
11.0,3.0,rapid,992,54.55130434782609
1.0,3.0,rapid,937,47.27645276497696
32.0,18.0,rapid,891,35.12266355140187
19.0,548.0,non_rapid,883,29.253975903614418
32.0,54.0,non_rapid,864,51.0
19.0,734.0,non_rapid,860,37.19875492610831
23.0,2.0,rapid,828,34.10480100755667
19.0,582.0,rapid,823,25.2488475452196
14.0,84.0,rapid,822,25.38657687420582
6.0,3.0,rapid,807,41.59574611398964
32.0,54.0,rapid,793,51.1358189081225
20.0,105.0,rapid,782,40.21534320323015
20.0,108.0,non_rapid,777,30.174995907230567
32.0,31.0,non_rapid,769,51.0
42.0,383.0,rapid,744,43.46830598052853
19.0,554.0,non_rapid,741,50.63413489736069
32.0,17.0,rapid,740,35.09873060648801
20.0,108.0,rapid,729,30.052000000000007
43.0,3.0,non_rapid,718,29.106707275803707
12.0,620.0,rapid,700,39.97866911764704
4.0,85.0,non_rapid,696,25.592004622496123
25.0,251.0,non_rapid,683,56.53431891025642
29.0,3.0,rapid,682,50.58205504587156
24.0,2.0,rapid,678,38.4093553846154
39.0,3.0,rapid,666,47.596146831530135
47.0,588.0,non_rapid,647,41.44297444633728
42.0,383.0,non_rapid,634,43.24023960066558
28.0,468.0,rapid,630,35.30049261083744
19.0,552.0,non_rapid,623,50.64146140651797
32.0,31.0,rapid,618,51.08793103448276
