WAREHOUSE_CODE,CENTRAL_PINCODE,distance
0,0,22.97
1,0,20.38
2,0,16.9
3,0,208.57
4,0,26.07
5,0,3.54
6,0,25.03
7,0,20.97
8,0,28.27
9,0,24.62
10,0,18.56
11,0,19.66
12,0,1464.16
13,0,22.72
14,0,19.57
15,0,659.39
16,0,227.37
17,0,1111.27
18,0,237.82
19,0,1290.76
20,0,417.87
21,0,1729.47
22,0,12.07
23,0,27.03
24,0,20.56
25,0,1142.98
26,0,9.8
27,0,17.66
28,0,1770.01
29,0,17.41
30,0,1306.79
31,0,27.42
32,0,24.11
33,0,19.86
34,0,19.65
35,0,21.83
36,0,22.11
37,0,19.66
38,0,25.9
39,0,31.6
40,0,27.85
41,0,19.08
42,0,1253.33
43,0,16.73
44,0,17.05
45,0,26.47
46,0,206.17
47,0,1277.08
0,1,21.28
1,1,19.77
2,1,16.61
3,1,209.11
4,1,24.36
5,1,4.83
6,1,24.65
7,1,19.2
8,1,26.51
9,1,23.35
10,1,18.2
11,1,19.62
12,1,1462.68
13,1,22.39
14,1,18.46
15,1,658.5
16,1,227.25
17,1,1109.5
18,1,237.61
19,1,1289.02
20,1,416.13
21,1,1728.26
22,1,10.74
23,1,25.35
24,1,19.23
25,1,1142.41
26,1,11.58
27,1,17.99
28,1,1768.6
29,1,16.93
30,1,1305.06
31,1,26.46
32,1,24.11
33,1,19.45
34,1,19.62
35,1,21.75
36,1,21.47
37,1,18.41
38,1,24.29
39,1,31.57
40,1,27.53
41,1,18.7
42,1,1252.02
43,1,16.98
44,1,16.0
45,1,26.09
46,1,206.75
47,1,1275.29
0,2,17.15
1,2,18.58
2,2,21.4
3,2,225.94
4,2,16.8
5,2,28.92
6,2,22.96
7,2,7.63
8,2,6.88
9,2,27.26
10,2,20.99
11,2,24.62
12,2,1449.95
13,2,22.49
14,2,27.07
15,2,639.14
16,2,217.13
17,2,1089.04
18,2,226.39
19,2,1269.65
20,2,397.1
21,2,1706.15
22,2,22.63
23,2,1.67
24,2,24.33
25,2,1126.17
26,2,35.23
27,2,27.47
28,2,1745.12
29,2,19.62
30,2,1285.94
31,2,33.57
32,2,27.03
33,2,20.74
34,2,24.64
35,2,25.09
36,2,18.53
37,2,25.2
38,2,1.29
39,2,31.33
40,2,25.06
41,2,20.85
42,2,1229.14
43,2,26.31
44,2,26.67
45,2,23.6
46,2,223.92
47,2,1252.68
0,3,35.15
1,3,5.94
2,3,5.95
3,3,230.87
4,3,36.83
5,3,25.75
6,3,3.65
7,3,26.52
8,3,30.93
9,3,42.03
10,3,4.73
11,3,3.24
12,3,1474.37
13,3,2.18
14,3,38.56
15,3,638.58
16,3,204.8
17,3,1111.69
18,3,215.21
19,3,1292.96
20,3,420.7
21,3,1710.99
22,3,30.7
23,3,26.13
24,3,37.84
25,3,1120.82
26,3,26.26
27,3,7.33
28,3,1754.08
29,3,6.42
30,3,1309.37
31,3,46.81
32,3,2.59
33,3,4.11
34,3,3.25
35,3,1.29
36,3,6.09
37,3,37.69
38,3,23.49
39,3,9.27
40,3,5.64
41,3,4.46
42,3,1236.11
43,3,7.28
44,3,36.58
45,3,4.78
46,3,228.41
47,3,1273.03
0,4,62.26
1,4,41.28
2,4,45.43
3,4,269.41
4,4,61.74
5,4,65.03
6,4,37.61
7,4,52.41
8,4,50.46
9,4,72.25
10,4,43.65
11,4,44.2
12,4,1472.51
13,4,39.92
14,4,71.26
15,4,597.94
16,4,172.51
17,4,1092.42
18,4,181.44
19,4,1276.49
20,4,407.2
21,4,1670.15
22,4,65.06
23,4,45.63
24,4,68.98
25,4,1082.15
26,4,67.04
27,4,48.23
28,4,1714.5
29,4,44.42
30,4,1293.51
31,4,78.43
32,4,40.97
33,4,42.27
34,4,44.21
35,4,42.2
36,4,39.52
37,4,69.61
38,4,43.96
39,4,35.42
40,4,35.39
41,4,43.09
42,4,1195.78
43,4,48.26
44,4,70.27
45,4,36.28
46,4,267.17
47,4,1246.85
0,5,140.37
1,5,110.77
2,5,111.39
3,5,320.45
4,5,141.54
5,5,127.96
6,5,105.18
7,5,130.84
8,5,132.89
9,5,147.69
10,5,110.38
11,5,107.69
12,5,1563.66
13,5,106.74
14,5,143.99
15,5,580.79
16,5,118.75
17,5,1169.63
18,5,132.62
19,5,1356.97
20,5,492.96
21,5,1668.71
22,5,136.0
23,5,127.37
24,5,143.48
25,5,1043.37
26,5,123.9
27,5,108.44
28,5,1729.42
29,5,112.07
30,5,1374.68
31,5,152.25
32,5,103.38
33,5,109.64
34,5,107.68
35,5,105.88
36,5,109.82
37,5,143.26
38,5,124.8
39,5,96.61
40,5,102.41
41,5,110.1
42,5,1204.21
43,5,109.52
44,5,141.84
45,5,104.05
46,5,317.2
47,5,1312.18
0,6,107.92
1,6,78.24
2,6,78.54
3,6,288.88
4,6,109.29
5,6,94.68
6,6,72.72
7,6,98.64
8,6,101.28
9,6,114.85
10,6,77.62
11,6,74.78
12,6,1538.35
13,6,74.14
14,6,110.98
15,6,601.8
16,6,146.03
17,6,1155.14
18,6,158.87
19,6,1340.54
20,6,472.75
21,6,1686.06
22,6,102.98
23,6,95.8
24,6,110.61
25,6,1070.56
26,6,90.58
27,6,75.31
28,6,1741.5
29,6,79.32
30,6,1357.82
31,6,119.24
32,6,70.56
33,6,76.96
34,6,74.77
35,6,73.05
36,6,77.41
37,6,110.33
38,6,93.15
39,6,64.07
40,6,70.06
41,6,77.37
42,6,1218.21
43,6,76.43
44,6,108.78
45,6,71.68
46,6,285.75
47,6,1303.97
0,7,82.41
1,7,52.96
2,7,54.03
3,7,272.96
4,7,83.5
5,7,72.09
6,7,47.34
7,7,72.79
8,7,74.86
9,7,90.08
10,7,52.87
11,7,50.48
12,7,1511.61
13,7,49.04
14,7,86.71
15,7,606.27
16,7,160.08
17,7,1132.49
18,7,171.57
19,7,1316.92
20,7,447.79
21,7,1686.15
22,7,78.82
23,7,69.35
24,7,85.93
25,7,1081.46
26,7,69.4
27,7,51.9
28,7,1736.85
29,7,54.52
30,7,1333.99
31,7,94.96
32,7,46.04
33,7,52.01
34,7,50.48
35,7,48.53
36,7,51.92
37,7,85.83
38,7,66.75
39,7,38.94
40,7,44.51
41,7,52.53
42,7,1215.42
43,7,52.86
44,7,84.7
45,7,46.15
46,7,270.12
47,7,1284.74
0,8,86.96
1,8,70.09
2,8,65.89
3,8,213.9
4,8,90.12
5,8,62.72
6,8,69.01
7,8,83.95
8,8,90.88
9,8,86.32
10,8,66.93
11,8,63.78
12,8,1524.36
13,8,67.78
14,8,80.72
15,8,680.45
16,8,225.95
17,8,1175.05
18,8,239.02
19,8,1354.81
20,8,481.93
21,8,1761.37
22,8,75.13
23,8,87.92
24,8,82.99
25,8,1150.72
26,8,54.74
27,8,59.87
28,8,1810.93
29,8,67.78
30,8,1370.85
31,8,86.33
32,8,63.91
33,8,67.79
34,8,63.76
35,8,64.49
36,8,71.16
37,8,81.69
38,8,85.83
39,8,65.8
40,8,69.29
41,8,67.3
42,8,1290.25
43,8,60.81
44,8,78.2
45,8,69.56
46,8,210.39
47,8,1338.52
0,9,75.57
1,9,50.31
2,9,47.52
3,9,237.84
4,9,78.11
5,9,54.76
6,9,47.0
7,9,69.18
8,9,74.81
9,9,78.83
10,9,47.78
11,9,44.15
12,9,1517.56
13,9,46.72
14,9,73.72
15,9,648.42
16,9,196.99
17,9,1155.5
18,9,209.52
19,9,1337.28
20,9,465.2
21,9,1728.78
22,9,66.24
23,9,70.44
24,9,74.73
25,9,1120.95
26,9,48.11
27,9,41.71
28,9,1778.68
29,9,49.21
30,9,1353.76
31,9,81.25
32,9,42.17
33,9,48.07
34,9,44.13
35,9,43.8
36,9,50.68
37,9,73.87
38,9,67.88
39,9,40.8
40,9,46.07
41,9,47.92
42,9,1257.74
43,9,42.96
44,9,71.16
45,9,46.97
46,9,234.65
47,9,1314.37
0,10,48.24
1,10,32.5
2,10,27.9
3,10,212.12
4,10,51.28
5,10,24.62
6,10,33.0
7,10,44.72
8,10,51.66
9,10,49.08
10,10,29.26
11,10,26.73
12,10,1488.93
13,10,31.2
14,10,43.61
15,10,663.37
16,10,220.87
17,10,1135.81
18,10,232.44
19,10,1315.71
20,10,442.87
21,10,1738.42
22,10,37.01
23,10,48.87
24,10,45.32
25,10,1141.82
26,10,16.96
27,10,22.42
28,10,1782.91
29,10,29.74
30,10,1331.81
31,10,50.45
32,10,28.42
33,10,30.36
34,10,26.71
35,10,28.07
36,10,33.87
37,10,44.19
38,10,46.91
39,10,33.19
40,10,34.26
41,10,29.72
42,10,1264.39
43,10,23.06
44,10,41.01
45,10,33.96
46,10,209.26
47,10,1299.96
0,11,175.78
1,11,156.23
2,11,152.56
3,11,256.08
4,11,178.9
5,11,151.61
6,11,153.9
7,11,172.19
8,11,178.86
9,11,175.15
