CENTRAL_PINCODE,WAREHOUSE_CODE,zone,Count
381.0,16.0,D,0
381.0,20.0,D,0
381.0,28.0,C,0
305.0,47.0,D,0
52.0,21.0,D,0
388.0,47.0,D,0
684.0,24.0,E,0
693.0,16.0,E,0
696.0,47.0,E,0
693.0,42.0,E,0
735.0,47.0,B,0
649.0,47.0,E,0
573.0,21.0,E,0
693.0,47.0,E,0
175.0,12.0,D,0
175.0,42.0,D,0
649.0,24.0,E,0
649.0,25.0,E,0
649.0,32.0,E,0
649.0,42.0,E,0
175.0,47.0,D,0
229.0,28.0,C,0
749.0,47.0,B,0
303.0,42.0,D,0
391.0,16.0,D,0
422.0,20.0,D,0
422.0,28.0,D,0
415.0,47.0,D,0
229.0,47.0,D,0
272.0,42.0,D,0
385.0,24.0,C,0
385.0,42.0,B,0
272.0,47.0,D,0
409.0,20.0,D,0
302.0,20.0,D,0
108.0,47.0,D,0
538.0,20.0,D,0
538.0,47.0,D,0
108.0,12.0,E,0
108.0,42.0,D,0
88.0,47.0,D,0
747.0,42.0,D,0
105.0,12.0,E,0
105.0,42.0,D,0
105.0,47.0,D,0
160.0,21.0,D,0
655.0,12.0,E,0
182.0,47.0,D,0
314.0,20.0,D,0
314.0,16.0,D,0
442.0,16.0,D,0
442.0,28.0,B,0
442.0,42.0,D,0
157.0,42.0,D,0
157.0,47.0,D,0
694.0,21.0,E,0
694.0,25.0,E,0
157.0,20.0,B,0
157.0,21.0,D,0
304.0,20.0,D,0
113.0,47.0,D,0
437.0,20.0,D,0
129.0,20.0,B,0
382.0,42.0,A,0
186.0,19.0,D,0
397.0,16.0,D,0
507.0,28.0,B,0
468.0,42.0,B,0
507.0,19.0,D,0
598.0,42.0,D,0
521.0,28.0,B,0
521.0,42.0,B,0
404.0,16.0,D,0
498.0,47.0,D,0
472.0,24.0,D,0
472.0,28.0,B,0
759.0,16.0,D,0
549.0,25.0,D,0
484.0,25.0,D,0
484.0,28.0,B,0
487.0,19.0,D,0
552.0,42.0,D,0
704.0,25.0,D,0
501.0,32.0,D,0
488.0,16.0,D,0
488.0,42.0,D,0
321.0,21.0,D,0
321.0,24.0,D,0
552.0,47.0,B,0
333.0,47.0,D,0
335.0,16.0,B,0
333.0,20.0,D,0
93.0,20.0,B,0
93.0,42.0,D,0
673.0,25.0,D,0
673.0,12.0,D,0
243.0,19.0,D,0
243.0,24.0,D,0
725.0,47.0,D,0
243.0,32.0,D,0
289.0,47.0,D,0
253.0,47.0,D,0
725.0,21.0,D,0
173.0,47.0,D,0
462.0,19.0,D,0
253.0,20.0,D,0
253.0,42.0,D,0
462.0,47.0,D,0
253.0,12.0,E,0
253.0,16.0,D,0
499.0,32.0,D,0
648.0,21.0,E,0
140.0,21.0,D,0
148.0,20.0,B,0
35.0,21.0,D,0
10.0,42.0,C,0
399.0,19.0,D,0
259.0,19.0,D,0
259.0,21.0,D,0
163.0,20.0,B,0
244.0,47.0,D,0
756.0,20.0,D,0
756.0,47.0,B,0
756.0,16.0,D,0
110.0,42.0,D,0
110.0,47.0,D,0
116.0,47.0,D,0
207.0,19.0,D,0
162.0,16.0,B,0
162.0,42.0,D,0
162.0,47.0,D,0
75.0,47.0,E,0
75.0,16.0,E,0
695.0,47.0,E,0
405.0,47.0,D,0
423.0,12.0,E,0
695.0,20.0,E,0
695.0,32.0,E,0
405.0,19.0,D,0
405.0,42.0,D,0
574.0,21.0,E,0
574.0,42.0,E,0
265.0,47.0,D,0
664.0,12.0,E,0
664.0,21.0,E,0
664.0,24.0,E,0
265.0,28.0,D,0
564.0,16.0,D,0
