WAREHOUSE_CODE,CENTRAL_PINCODE,DELIVERY_PARTNERS_CODE,Count
0.0,0.0,1,1
0.0,85.0,1,3613
1.0,3.0,1,8776
2.0,3.0,1,9381
3.0,139.0,1,677
4.0,85.0,1,2216
4.0,86.0,1,37
5.0,0.0,1,8897
6.0,3.0,1,9868
7.0,2.0,1,41
8.0,2.0,1,918
9.0,84.0,1,489
9.0,85.0,1,282
9.0,86.0,1,268
10.0,3.0,1,1065
11.0,3.0,1,5760
12.0,0.0,9,1
12.0,2.0,9,1
12.0,3.0,9,3
12.0,11.0,10,2
12.0,54.0,8,1
12.0,84.0,9,1
12.0,104.0,9,1
12.0,112.0,9,1
12.0,115.0,9,1
12.0,123.0,9,1
12.0,132.0,9,1
12.0,216.0,10,1
12.0,229.0,9,1
12.0,267.0,12,1
12.0,289.0,10,2
12.0,310.0,9,3
12.0,317.0,9,1
12.0,330.0,9,1
12.0,334.0,9,1
12.0,353.0,9,1
12.0,380.0,9,1
12.0,381.0,10,3
12.0,388.0,9,1
12.0,397.0,9,1
12.0,402.0,10,2
12.0,403.0,4,1
12.0,410.0,9,1
12.0,415.0,9,1
12.0,423.0,9,6
12.0,428.0,9,1
12.0,439.0,9,1
12.0,442.0,9,1
12.0,443.0,9,3
12.0,450.0,9,1
12.0,462.0,9,1
12.0,464.0,9,3
12.0,469.0,9,1
12.0,517.0,10,1
12.0,525.0,9,1
12.0,539.0,9,1
12.0,542.0,9,3
12.0,552.0,10,1
12.0,558.0,10,1
12.0,569.0,9,1
12.0,570.0,10,1
12.0,571.0,9,567
12.0,572.0,6,24
12.0,573.0,9,128
12.0,574.0,12,122
12.0,575.0,9,416
12.0,577.0,9,1
12.0,582.0,10,1
12.0,592.0,10,1
12.0,603.0,10,3
12.0,610.0,9,6
12.0,619.0,1,2457
12.0,620.0,1,6529
12.0,621.0,1,34744
12.0,622.0,9,1548
12.0,623.0,9,1208
12.0,624.0,9,1935
12.0,625.0,9,447
12.0,626.0,9,1361
12.0,627.0,12,522
12.0,628.0,9,1117
12.0,629.0,9,2112
12.0,630.0,9,1162
12.0,631.0,10,1006
12.0,633.0,9,3211
12.0,634.0,9,2698
12.0,635.0,9,1401
12.0,637.0,9,1631
12.0,638.0,9,1487
12.0,640.0,9,967
12.0,641.0,9,661
12.0,642.0,9,2471
12.0,644.0,9,1901
12.0,646.0,12,147
12.0,648.0,6,7
12.0,649.0,12,111
12.0,650.0,6,8
12.0,651.0,12,164
12.0,652.0,9,237
12.0,653.0,9,253
12.0,654.0,6,62
12.0,656.0,6,152
12.0,657.0,6,29
12.0,658.0,12,114
12.0,659.0,9,1360
12.0,660.0,10,507
12.0,662.0,12,184
12.0,663.0,10,175
12.0,665.0,12,280
12.0,666.0,12,34
12.0,667.0,10,1
12.0,675.0,9,501
12.0,676.0,12,78
12.0,677.0,12,31
12.0,678.0,12,69
12.0,680.0,12,163
12.0,681.0,12,14
12.0,683.0,10,4
12.0,684.0,10,46
12.0,685.0,9,719
12.0,688.0,12,142
12.0,692.0,10,14
12.0,693.0,9,3322
12.0,694.0,9,64
12.0,695.0,9,745
12.0,696.0,12,540
12.0,697.0,9,1389
12.0,698.0,9,268
12.0,699.0,9,1
12.0,702.0,9,5
12.0,704.0,10,1
12.0,724.0,10,1
12.0,737.0,9,1
12.0,745.0,10,4
12.0,748.0,12,2
12.0,750.0,10,1
12.0,756.0,10,3
12.0,759.0,10,1
13.0,3.0,1,38815
14.0,84.0,1,2429
15.0,0.0,8,3
15.0,2.0,8,1
15.0,3.0,8,3
15.0,13.0,8,1
15.0,50.0,8,1
15.0,54.0,8,1
15.0,66.0,9,5
15.0,75.0,8,1
15.0,81.0,8,1
15.0,94.0,8,1
15.0,107.0,8,1
15.0,115.0,8,1
15.0,124.0,11,1
15.0,139.0,7,1
15.0,179.0,8,2
15.0,186.0,8,1
15.0,187.0,8,3
15.0,188.0,8,2
15.0,190.0,8,3
15.0,193.0,8,5
15.0,195.0,7,1
15.0,201.0,8,5
15.0,202.0,8,2
15.0,203.0,8,2
15.0,204.0,8,3
15.0,205.0,8,3
15.0,213.0,7,2
15.0,214.0,8,4
15.0,217.0,8,1
15.0,219.0,4,30
15.0,221.0,8,23
15.0,222.0,9,2
15.0,224.0,9,6
15.0,227.0,10,5
15.0,228.0,4,6
15.0,229.0,12,185
15.0,230.0,8,14
15.0,231.0,8,7
15.0,232.0,9,8
15.0,233.0,8,3
15.0,234.0,9,9
15.0,235.0,8,2
15.0,236.0,8,4
15.0,238.0,8,1
15.0,239.0,10,1
15.0,241.0,8,6
15.0,242.0,9,1
15.0,244.0,8,36
15.0,245.0,8,12
15.0,247.0,9,2
15.0,250.0,8,3
15.0,263.0,9,22
15.0,265.0,12,8
15.0,267.0,4,4
15.0,276.0,11,1
15.0,285.0,8,2
15.0,286.0,8,1
15.0,293.0,8,2
15.0,297.0,4,1
15.0,299.0,8,2
15.0,301.0,8,2
15.0,302.0,8,4
15.0,303.0,4,1
15.0,304.0,7,10
15.0,306.0,9,21
15.0,307.0,9,674
15.0,309.0,12,86
15.0,310.0,1,18218
15.0,311.0,12,301
15.0,312.0,10,39
15.0,313.0,9,835
15.0,314.0,9,1164
15.0,315.0,10,393
15.0,316.0,9,304
15.0,317.0,9,415
15.0,318.0,9,301
15.0,319.0,9,380
15.0,320.0,9,351
15.0,321.0,9,13
15.0,322.0,9,5
15.0,323.0,8,32
15.0,324.0,9,254
15.0,325.0,9,231
15.0,326.0,9,15
15.0,327.0,9,348
15.0,328.0,9,479
15.0,329.0,9,599
15.0,330.0,10,436
15.0,331.0,9,252
15.0,332.0,9,671
15.0,333.0,10,5
15.0,334.0,9,360
15.0,335.0,9,322
15.0,336.0,9,246
15.0,337.0,10,12
15.0,338.0,9,131
15.0,339.0,10,7
15.0,340.0,9,115
15.0,341.0,10,2
15.0,343.0,10,263
15.0,344.0,9,320
15.0,345.0,9,249
